Kind,Name,SumEssential,SumCyclomaticStrict,SumCyclomaticModified,SumCyclomatic,RatioCommentToCode,PercentLackOfCohesionModified,PercentLackOfCohesion,MinEssentialKnots,MaxNesting,MaxInheritanceTree,MaxEssentialKnots,MaxEssential,MaxCyclomaticStrict,MaxCyclomaticModified,MaxCyclomatic,Knots,Essential,CyclomaticStrict,CyclomaticModified,Cyclomatic,CountStmtExe_Php,CountStmtExe_Javascript,CountStmtExe,CountStmtDecl_Php,CountStmtDecl_Javascript,CountStmtDecl,CountStmt,CountSemicolon,CountPathLog,CountPath,CountOutput,CountLineComment_Php,CountLineComment_Javascript,CountLineComment_Html,CountLineComment,CountLineCodeExe,CountLineCodeDecl,CountLineCode_Php,CountLineCode_Javascript,CountLineCode,CountLineBlank_Php,CountLineBlank_Javascript,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountDeclMethodProtected,CountDeclMethodPrivate,CountDeclMethodDefault,CountDeclMethodAll,CountDeclMethod,CountDeclInstanceVariablePublic,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePrivate,CountDeclInstanceVariable,CountDeclInstanceMethod,CountDeclFunction,CountDeclFile,CountDeclExecutableUnit,CountDeclClassVariable,CountDeclClassMethod,CountDeclClass,CountClassDerived,CountClassCoupledModified,CountClassCoupled,CountClassBase,AvgLineComment,AvgLineCode,AvgLineBlank,AvgLine,AvgEssential,AvgCyclomaticStrict,AvgCyclomaticModified,AvgCyclomatic
Public Class,"CH.ifa.draw.applet.DrawApplet",36,59,59,59,0.34,82,91,,1,2,,3,4,4,4,,,,,,,,160,,,88,248,184,,,,,,,119,239,93,,,347,,,8,,537,,,,71,,16,10,0,34,34,,,,13,34,,,,3,0,,3,27,27,3,3,9,0,13,1,1,1,1
Protected Method,"CH.ifa.draw.applet.DrawApplet.createAttributeChoices",1,1,1,1,0.18,,,0,0,,0,,,,,0,1,1,1,1,,,16,,,2,18,17,0,1,10,,,,7,37,2,,,39,,,,11,50,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protected Method,"CH.ifa.draw.applet.DrawApplet.createAttributesPanel",1,1,1,1,2.40,,,0,0,,0,,,,,0,1,1,1,1,,,2,,,2,4,3,0,1,3,,,,12,3,2,,,5,,,,1,18,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protected Method,"CH.ifa.draw.applet.DrawApplet.createButtonPanel",1,1,1,1,0.60,,,0,0,,0,,,,,0,1,1,1,1,,,2,,,2,4,3,0,1,3,,,,3,3,2,,,5,,,,1,8,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protected Method,"CH.ifa.draw.applet.DrawApplet.createButtons",1,4,4,4,0.15,,,0,0,,0,,,,,1,1,4,4,4,,,30,,,8,38,29,1,8,15,,,,7,41,5,,,48,,,,6,66,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anonymous Class,"CH.ifa.draw.applet.DrawApplet.createButtons.(Anon_1)",1,2,2,2,0.00,0,0,,1,2,,1,2,2,2,,,,,,,,2,,,1,3,1,,,,,,,0,4,0,,,6,,,1,,6,,,,0,,0,0,0,1,1,,,,0,1,,,,0,0,,0,1,1,1,0,5,0,5,1,2,2,2
Public Method,"CH.ifa.draw.applet.DrawApplet.createButtons.(Anon_1).itemStateChanged",1,2,2,2,0.00,,,0,1,,0,,,,,0,1,2,2,2,,,2,,,1,3,1,0,2,3,,,,0,3,0,,,5,,,,2,5,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anonymous Class,"CH.ifa.draw.applet.DrawApplet.createButtons.(Anon_2)",1,1,1,1,0.00,0,0,,0,2,,1,1,1,1,,,,,,,,1,,,1,2,1,,,,,,,0,3,0,,,4,,,1,,4,,,,0,,0,0,0,1,1,,,,0,1,,,,0,0,,0,1,1,1,0,3,0,3,1,1,1,1
Public Method,"CH.ifa.draw.applet.DrawApplet.createButtons.(Anon_2).actionPerformed",1,1,1,1,0.00,,,0,0,,0,,,,,0,1,1,1,1,,,1,,,1,2,1,0,1,1,,,,0,2,0,,,3,,,,0,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anonymous Class,"CH.ifa.draw.applet.DrawApplet.createButtons.(Anon_3)",1,2,2,2,0.00,0,0,,1,2,,1,2,2,2,,,,,,,,3,,,1,4,2,,,,,,,0,6,0,,,7,,,1,,7,,,,0,,0,0,0,1,1,,,,0,1,,,,0,0,,0,1,1,1,0,6,0,6,1,2,2,2
Public Method,"CH.ifa.draw.applet.DrawApplet.createButtons.(Anon_3).actionPerformed",1,2,2,2,0.00,,,0,1,,0,,,,,1,1,2,2,2,,,3,,,1,4,2,0,2,2,,,,0,5,0,,,6,,,,1,6,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protected Method,"CH.ifa.draw.applet.DrawApplet.createColorChoice",1,2,2,2,0.27,,,0,1,,0,,,,,0,1,2,2,2,,,4,,,3,7,5,0,2,7,,,,3,9,2,,,11,,,,3,14,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protected Method,"CH.ifa.draw.applet.DrawApplet.createDrawing",1,1,1,1,2.00,,,0,0,,0,,,,,0,1,1,1,1,,,1,,,1,2,1,0,1,2,,,,6,1,1,,,3,,,,1,9,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protected Method,"CH.ifa.draw.applet.DrawApplet.createDrawingView",1,1,1,1,2.00,,,0,0,,0,,,,,0,1,1,1,1,,,1,,,1,2,1,0,1,2,,,,6,1,1,,,3,,,,1,9,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protected Method,"CH.ifa.draw.applet.DrawApplet.createFontChoice",1,2,2,2,0.27,,,0,1,,0,,,,,0,1,2,2,2,,,4,,,4,8,6,0,2,6,,,,4,12,4,,,15,,,,3,19,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protected Method,"CH.ifa.draw.applet.DrawApplet.createSelectionTool",1,1,1,1,1.33,,,0,0,,0,,,,,0,1,1,1,1,,,1,,,1,2,1,0,1,3,,,,4,1,1,,,3,,,,1,7,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protected Method,"CH.ifa.draw.applet.DrawApplet.createToolButton",1,1,1,1,0.50,,,0,0,,0,,,,,0,1,1,1,1,,,1,,,1,2,1,0,1,2,,,,3,1,4,,,6,,,,7,9,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protected Method,"CH.ifa.draw.applet.DrawApplet.createToolPalette",1,1,1,1,0.60,,,0,0,,0,,,,,0,1,1,1,1,,,2,,,2,4,3,0,1,3,,,,3,3,2,,,5,,,,1,8,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protected Method,"CH.ifa.draw.applet.DrawApplet.createTools",1,1,1,1,1.00,,,0,0,,0,,,,,0,1,1,1,1,,,2,,,2,4,3,0,1,4,,,,6,4,2,,,6,,,,7,13,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Method,"CH.ifa.draw.applet.DrawApplet.drawing",1,1,1,1,1.33,,,0,0,,0,,,,,0,1,1,1,1,,,1,,,1,2,1,0,1,1,,,,4,1,1,,,3,,,,2,7,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Method,"CH.ifa.draw.applet.DrawApplet.guessType",3,3,3,3,0.00,,,2,1,,2,,,,,2,3,3,3,3,,,5,,,1,6,3,0,3,2,,,,0,5,1,,,7,,,,2,7,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File,"CH.ifa.draw.applet.DrawApplet.html",0,0,0,0,0.00,,,,0,,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,2,2,,,0,0,0,0,0,,,428,428,0,0,1,1,,,,,,,,,,,0,,0,,,0,,,,,2,0,1,428,0,0,0,0
Public Method,"CH.ifa.draw.applet.DrawApplet.init",1,1,1,1,0.17,,,0,0,,0,,,,,0,1,1,1,1,,,13,,,4,17,16,0,1,15,,,,3,16,4,,,18,,,,1,27,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Method,"CH.ifa.draw.applet.DrawApplet.initDrawing",1,1,1,1,0.00,,,0,0,,0,,,,,0,1,1,1,1,,,3,,,1,4,3,0,1,4,,,,0,3,1,,,5,,,,6,5,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protected Method,"CH.ifa.draw.applet.DrawApplet.loadDrawing",1,3,3,3,0.00,,,0,1,,0,,,,,1,1,3,3,3,,,6,,,2,8,5,0,3,4,,,,0,7,2,,,10,,,,4,11,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Method,"CH.ifa.draw.applet.DrawApplet.paletteUserOver",1,2,2,2,0.67,,,0,1,,0,,,,,1,1,2,2,2,,,3,,,1,4,2,0,2,2,,,,4,4,1,,,6,,,,3,10,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Method,"CH.ifa.draw.applet.DrawApplet.paletteUserSelected",1,1,1,1,0.80,,,0,0,,0,,,,,0,1,1,1,1,,,2,,,2,4,3,0,1,4,,,,4,3,2,,,5,,,,1,9,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Method,"CH.ifa.draw.applet.DrawApplet.readDrawing",1,3,3,3,0.00,,,0,1,,0,,,,,2,1,3,3,3,,,6,,,2,8,5,0,3,6,,,,0,8,2,,,10,,,,2,10,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Method,"CH.ifa.draw.applet.DrawApplet.readFromObjectInput",1,3,3,3,0.00,,,0,1,,0,,,,,3,1,3,3,3,,,8,,,4,12,10,0,3,8,,,,0,13,4,,,18,,,,6,18,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Method,"CH.ifa.draw.applet.DrawApplet.readFromStorableInput",1,2,2,2,0.00,,,0,1,,0,,,,,1,1,2,2,2,,,6,,,4,10,8,0,2,9,,,,0,10,4,,,14,,,,5,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Method,"CH.ifa.draw.applet.DrawApplet.selectionChanged",1,1,1,1,1.67,,,0,0,,0,,,,,0,1,1,1,1,,,1,,,1,2,1,0,1,1,,,,5,1,1,,,3,,,,0,8,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protected Method,"CH.ifa.draw.applet.DrawApplet.setBufferedDisplayUpdate",1,1,1,1,0.00,,,0,0,,0,,,,,0,1,1,1,1,,,3,,,1,4,3,0,1,3,,,,0,3,1,,,5,,,,4,5,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Method,"CH.ifa.draw.applet.DrawApplet.setSelected",1,3,3,3,0.00,,,0,1,,0,,,,,0,1,3,3,3,,,5,,,1,6,3,1,4,3,,,,0,5,1,,,7,,,,4,7,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protected Method,"CH.ifa.draw.applet.DrawApplet.setSimpleDisplayUpdate",1,1,1,1,0.00,,,0,0,,0,,,,,0,1,1,1,1,,,3,,,1,4,3,0,1,3,,,,0,3,1,,,5,,,,3,5,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Method,"CH.ifa.draw.applet.DrawApplet.setTool",1,3,3,3,0.00,,,0,1,,0,,,,,0,1,3,3,3,,,6,,,1,7,4,1,4,4,,,,0,6,1,,,9,,,,5,9,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Method,"CH.ifa.draw.applet.DrawApplet.setupAttributes",1,4,4,4,0.17,,,0,1,,0,,,,,0,1,4,4,4,,,11,,,7,18,14,1,8,8,,,,4,17,11,,,24,,,,7,30,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protected Method,"CH.ifa.draw.applet.DrawApplet.showHelp",1,2,2,2,0.40,,,0,1,,0,,,,,1,1,2,2,2,,,3,,,3,6,4,0,2,7,,,,4,6,3,,,10,,,,1,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Method,"CH.ifa.draw.applet.DrawApplet.startSleeper",1,2,2,2,0.60,,,0,1,,0,,,,,0,1,2,2,2,,,3,,,1,4,2,0,2,3,,,,3,3,1,,,5,,,,1,8,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Method,"CH.ifa.draw.applet.DrawApplet.stopSleeper",1,2,2,2,0.00,,,0,1,,0,,,,,0,1,2,2,2,,,2,,,1,3,1,0,2,1,,,,0,2,1,,,4,,,,1,4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Method,"CH.ifa.draw.applet.DrawApplet.tool",1,1,1,1,1.33,,,0,0,,0,,,,,0,1,1,1,1,,,1,,,1,2,1,0,1,1,,,,4,1,1,,,3,,,,1,7,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Method,"CH.ifa.draw.applet.DrawApplet.toolDone",1,1,1,1,1.00,,,0,0,,0,,,,,0,1,1,1,1,,,2,,,1,3,2,0,1,4,,,,4,2,1,,,4,,,,3,8,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Method,"CH.ifa.draw.applet.DrawApplet.view",1,1,1,1,1.33,,,0,0,,0,,,,,0,1,1,1,1,,,1,,,1,2,1,0,1,1,,,,4,1,1,,,3,,,,6,7,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class,"CH.ifa.draw.applet.SleeperThread",2,4,4,4,0.00,0,0,,2,2,,1,3,3,3,,,,,,,,6,,,4,10,7,,,,,,,0,7,4,,,16,,,1,,20,,,,4,,0,0,1,2,2,,,,1,2,,,,0,0,,0,0,0,1,0,6,0,6,1,2,2,2
Constructor,"CH.ifa.draw.applet.SleeperThread.SleeperThread",1,1,1,1,0.00,,,0,0,,0,,,,,0,1,1,1,1,,,1,,,1,2,1,0,1,2,,,,0,1,1,,,3,,,,2,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Method,"CH.ifa.draw.applet.SleeperThread.run",1,3,3,3,0.00,,,0,2,,0,,,,,2,1,3,3,3,,,5,,,1,6,5,0,3,2,,,,0,6,1,,,10,,,,1,10,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Package,"CH.ifa.draw.application",63,88,88,88,0.38,,,,2,,,3,3,3,3,,,,,,,,227,,,192,419,331,,,,,,,196,322,184,,,522,,,27,,794,,,,79,,23,11,0,,61,,,,8,61,,1,,7,0,10,,,,,2,7,0,10,1,1,1,1
Public Class,"CH.ifa.draw.application.DrawApplication",54,79,79,79,0.42,78,92,,2,2,,3,3,3,3,,,,,,,,227,,,130,357,269,,,,,,,192,322,122,,,460,,,18,,723,,,,74,,23,11,0,52,52,,,,8,52,,,,7,0,,4,27,27,3,3,8,0,11,1,1,1,1
Public Constructor,"CH.ifa.draw.application.DrawApplication.DrawApplication",1,1,1,1,1.00,,,0,0,,0,,,,,0,1,1,1,1,,,1,,,1,2,1,0,1,1,,,,3,1,1,,,3,,,,0,6,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Constructor,"CH.ifa.draw.application.DrawApplication.DrawApplication",1,1,1,1,1.00,,,0,0,,0,,,,,0,1,1,1,1,,,1,,,1,2,1,0,1,1,,,,3,1,1,,,3,,,,5,6,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protected Method,"CH.ifa.draw.application.DrawApplication.addListeners",1,1,1,1,0.43,,,0,0,,0,,,,,0,1,1,1,1,,,2,,,2,4,2,0,1,1,,,,3,4,1,,,7,,,,1,10,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anonymous Class,"CH.ifa.draw.application.DrawApplication.addListeners.(Anon_1)",1,1,1,1,0.00,0,0,,0,2,,1,1,1,1,,,,,,,,1,,,1,2,1,,,,,,,0,3,0,,,4,,,1,,4,,,,0,,0,0,0,1,1,,,,0,1,,,,0,0,,0,1,1,1,0,3,0,3,1,1,1,1
Public Method,"CH.ifa.draw.application.DrawApplication.addListeners.(Anon_1).windowClosing",1,1,1,1,0.00,,,0,0,,0,,,,,0,1,1,1,1,,,1,,,1,2,1,0,1,1,,,,0,2,0,,,3,,,,0,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protected Method,"CH.ifa.draw.application.DrawApplication.createAlignmentMenu",1,1,1,1,0.29,,,0,0,,0,,,,,0,1,1,1,1,,,10,,,2,12,11,0,1,6,,,,4,12,2,,,14,,,,8,18,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protected Method,"CH.ifa.draw.application.DrawApplication.createArrowMenu",1,1,1,1,0.25,,,0,0,,0,,,,,0,1,1,1,1,,,5,,,2,7,6,0,1,4,,,,3,10,2,,,12,,,,6,15,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protected Method,"CH.ifa.draw.application.DrawApplication.createAttributesMenu",1,1,1,1,0.33,,,0,0,,0,,,,,0,1,1,1,1,,,9,,,2,11,10,0,1,8,,,,4,10,2,,,12,,,,1,16,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protected Method,"CH.ifa.draw.application.DrawApplication.createColorMenu",1,2,2,2,0.43,,,0,1,,0,,,,,0,1,2,2,2,,,4,,,3,7,5,0,2,7,,,,3,5,2,,,7,,,,4,10,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protected Method,"CH.ifa.draw.application.DrawApplication.createContents",1,1,1,1,0.44,,,0,0,,0,,,,,0,1,1,1,1,,,4,,,4,8,7,0,1,5,,,,4,7,4,,,9,,,,2,14,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protected Method,"CH.ifa.draw.application.DrawApplication.createDebugMenu",1,1,1,1,0.22,,,0,0,,0,,,,,0,1,1,1,1,,,8,,,5,13,10,0,1,3,,,,4,14,3,,,18,,,,1,24,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anonymous Class,"CH.ifa.draw.application.DrawApplication.createDebugMenu.(Anon_8)",1,1,1,1,0.00,0,0,,0,2,,1,1,1,1,,,,,,,,1,,,1,2,1,,,,,,,0,3,0,,,4,,,1,,4,,,,0,,0,0,0,1,1,,,,0,1,,,,0,0,,0,3,3,1,0,3,0,3,1,1,1,1
Public Method,"CH.ifa.draw.application.DrawApplication.createDebugMenu.(Anon_8).actionPerformed",1,1,1,1,0.00,,,0,0,,0,,,,,0,1,1,1,1,,,1,,,1,2,1,0,1,1,,,,0,2,0,,,3,,,,1,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anonymous Class,"CH.ifa.draw.application.DrawApplication.createDebugMenu.(Anon_9)",1,1,1,1,0.00,0,0,,0,2,,1,1,1,1,,,,,,,,1,,,1,2,1,,,,,,,0,3,0,,,4,,,1,,4,,,,0,,0,0,0,1,1,,,,0,1,,,,0,0,,0,3,3,1,0,3,0,3,1,1,1,1
Public Method,"CH.ifa.draw.application.DrawApplication.createDebugMenu.(Anon_9).actionPerformed",1,1,1,1,0.00,,,0,0,,0,,,,,0,1,1,1,1,,,1,,,1,2,1,0,1,1,,,,0,2,0,,,3,,,,1,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protected Method,"CH.ifa.draw.application.DrawApplication.createDrawing",1,1,1,1,1.67,,,0,0,,0,,,,,0,1,1,1,1,,,1,,,1,2,1,0,1,2,,,,5,1,1,,,3,,,,1,8,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protected Method,"CH.ifa.draw.application.DrawApplication.createDrawingView",1,1,1,1,1.25,,,0,0,,0,,,,,0,1,1,1,1,,,1,,,2,3,2,0,1,3,,,,5,2,2,,,4,,,,3,9,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protected Method,"CH.ifa.draw.application.DrawApplication.createEditMenu",1,1,1,1,0.24,,,0,0,,0,,,,,0,1,1,1,1,,,13,,,2,15,14,0,1,14,,,,4,15,2,,,17,,,,2,21,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
