Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,CountDeclClass,CountDeclExecutableUnit,MaxCyclomatic,MaxCyclomaticStrict,MaxCyclomaticModified,MaxEssential,MaxNesting,SumCyclomatic,SumEssential
Protected Method,CH.ifa.draw.applet.DrawApplet.showHelp,,,,,,,,,,,1,2,1
Private Method,CH.ifa.draw.applet.DrawApplet.startSleeper,,,,,,,,,,,1,2,1
Private Method,CH.ifa.draw.applet.DrawApplet.stopSleeper,,,,,,,,,,,1,2,1
Public Method,CH.ifa.draw.applet.DrawApplet.tool,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.applet.DrawApplet.toolDone,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.applet.DrawApplet.view,,,,,,,,,,,0,1,1
Class,CH.ifa.draw.applet.SleeperThread,2,2,2,1,,,3,3,3,1,2,4,2
Constructor,CH.ifa.draw.applet.SleeperThread.SleeperThread,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.applet.SleeperThread.run,,,,,,,,,,,2,3,1
Package,CH.ifa.draw.application,1,1,1,1,10,,3,3,3,3,2,88,63
Public Class,CH.ifa.draw.application.DrawApplication,1,1,1,1,,,3,3,3,3,2,79,54
Public Constructor,CH.ifa.draw.application.DrawApplication.DrawApplication,,,,,,,,,,,0,1,1
Public Constructor,CH.ifa.draw.application.DrawApplication.DrawApplication,,,,,,,,,,,0,1,1
Protected Method,CH.ifa.draw.application.DrawApplication.addListeners,,,,,,,,,,,0,1,1
Anonymous Class,CH.ifa.draw.application.DrawApplication.addListeners.(Anon_1),1,1,1,1,,,1,1,1,1,0,1,1
Public Method,CH.ifa.draw.application.DrawApplication.addListeners.(Anon_1).windowClosing,,,,,,,,,,,0,1,1
Protected Method,CH.ifa.draw.application.DrawApplication.createAlignmentMenu,,,,,,,,,,,0,1,1
Protected Method,CH.ifa.draw.application.DrawApplication.createArrowMenu,,,,,,,,,,,0,1,1
Protected Method,CH.ifa.draw.application.DrawApplication.createAttributesMenu,,,,,,,,,,,0,1,1
Protected Method,CH.ifa.draw.application.DrawApplication.createColorMenu,,,,,,,,,,,1,2,1
Protected Method,CH.ifa.draw.application.DrawApplication.createContents,,,,,,,,,,,0,1,1
Protected Method,CH.ifa.draw.application.DrawApplication.createDebugMenu,,,,,,,,,,,0,1,1
Anonymous Class,CH.ifa.draw.application.DrawApplication.createDebugMenu.(Anon_8),1,1,1,1,,,1,1,1,1,0,1,1
Public Method,CH.ifa.draw.application.DrawApplication.createDebugMenu.(Anon_8).actionPerformed,,,,,,,,,,,0,1,1
Anonymous Class,CH.ifa.draw.application.DrawApplication.createDebugMenu.(Anon_9),1,1,1,1,,,1,1,1,1,0,1,1
Public Method,CH.ifa.draw.application.DrawApplication.createDebugMenu.(Anon_9).actionPerformed,,,,,,,,,,,0,1,1
Protected Method,CH.ifa.draw.application.DrawApplication.createDrawing,,,,,,,,,,,0,1,1
Protected Method,CH.ifa.draw.application.DrawApplication.createDrawingView,,,,,,,,,,,0,1,1
Protected Method,CH.ifa.draw.application.DrawApplication.createEditMenu,,,,,,,,,,,0,1,1
Protected Method,CH.ifa.draw.application.DrawApplication.createFileMenu,,,,,,,,,,,0,1,1
Anonymous Class,CH.ifa.draw.application.DrawApplication.createFileMenu.(Anon_2),1,1,1,1,,,1,1,1,1,0,1,1
Public Method,CH.ifa.draw.application.DrawApplication.createFileMenu.(Anon_2).actionPerformed,,,,,,,,,,,0,1,1
Anonymous Class,CH.ifa.draw.application.DrawApplication.createFileMenu.(Anon_3),1,1,1,1,,,1,1,1,1,0,1,1
Public Method,CH.ifa.draw.application.DrawApplication.createFileMenu.(Anon_3).actionPerformed,,,,,,,,,,,0,1,1
Anonymous Class,CH.ifa.draw.application.DrawApplication.createFileMenu.(Anon_4),1,1,1,1,,,1,1,1,1,0,1,1
Public Method,CH.ifa.draw.application.DrawApplication.createFileMenu.(Anon_4).actionPerformed,,,,,,,,,,,0,1,1
Anonymous Class,CH.ifa.draw.application.DrawApplication.createFileMenu.(Anon_5),1,1,1,1,,,1,1,1,1,0,1,1
Public Method,CH.ifa.draw.application.DrawApplication.createFileMenu.(Anon_5).actionPerformed,,,,,,,,,,,0,1,1
Anonymous Class,CH.ifa.draw.application.DrawApplication.createFileMenu.(Anon_6),1,1,1,1,,,1,1,1,1,0,1,1
Public Method,CH.ifa.draw.application.DrawApplication.createFileMenu.(Anon_6).actionPerformed,,,,,,,,,,,0,1,1
Anonymous Class,CH.ifa.draw.application.DrawApplication.createFileMenu.(Anon_7),1,1,1,1,,,1,1,1,1,0,1,1
Public Method,CH.ifa.draw.application.DrawApplication.createFileMenu.(Anon_7).actionPerformed,,,,,,,,,,,0,1,1
Protected Method,CH.ifa.draw.application.DrawApplication.createFontMenu,,,,,,,,,,,1,2,1
Protected Method,CH.ifa.draw.application.DrawApplication.createFontSizeMenu,,,,,,,,,,,1,2,1
Protected Method,CH.ifa.draw.application.DrawApplication.createFontStyleMenu,,,,,,,,,,,0,1,1
Protected Method,CH.ifa.draw.application.DrawApplication.createMenus,,,,,,,,,,,0,1,1
Protected Method,CH.ifa.draw.application.DrawApplication.createSelectionTool,,,,,,,,,,,0,1,1
Protected Method,CH.ifa.draw.application.DrawApplication.createStatusLine,,,,,,,,,,,0,1,1
Protected Method,CH.ifa.draw.application.DrawApplication.createToolButton,,,,,,,,,,,0,1,1
Protected Method,CH.ifa.draw.application.DrawApplication.createToolPalette,,,,,,,,,,,0,1,1
Protected Method,CH.ifa.draw.application.DrawApplication.createTools,,,,,,,,,,,0,1,1
Protected Method,CH.ifa.draw.application.DrawApplication.defaultSize,,,,,,,,,,,0,1,1
Protected Method,CH.ifa.draw.application.DrawApplication.destroy,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.application.DrawApplication.drawing,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.application.DrawApplication.exit,,,,,,,,,,,0,1,1
Protected Method,CH.ifa.draw.application.DrawApplication.getDrawingViewSize,,,,,,,,,,,0,1,1
Private Method,CH.ifa.draw.application.DrawApplication.getSavePath,,,,,,,,,,,1,2,1
Private Method,CH.ifa.draw.application.DrawApplication.guessType,,,,,,,,,,,1,3,3
File,CH.ifa.draw.application.DrawApplication.html,0,0,0,0,0,0,0,,0,0,0,0,0
Private Method,CH.ifa.draw.application.DrawApplication.initDrawing,,,,,,,,,,,0,1,1
Private Method,CH.ifa.draw.application.DrawApplication.loadDrawing,,,,,,,,,,,1,3,1
Public Method,CH.ifa.draw.application.DrawApplication.open,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.application.DrawApplication.paletteUserOver,,,,,,,,,,,1,2,1
Public Method,CH.ifa.draw.application.DrawApplication.paletteUserSelected,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.application.DrawApplication.print,,,,,,,,,,,2,3,1
Public Method,CH.ifa.draw.application.DrawApplication.promptNew,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.application.DrawApplication.promptOpen,,,,,,,,,,,1,2,1
Public Method,CH.ifa.draw.application.DrawApplication.promptSaveAs,,,,,,,,,,,2,3,1
Public Method,CH.ifa.draw.application.DrawApplication.promptSaveAsSerialized,,,,,,,,,,,2,3,1
Private Method,CH.ifa.draw.application.DrawApplication.readFromObjectInput,,,,,,,,,,,1,3,1
Private Method,CH.ifa.draw.application.DrawApplication.readFromStorableInput,,,,,,,,,,,1,2,1
Private Method,CH.ifa.draw.application.DrawApplication.saveAsObjectOutput,,,,,,,,,,,1,2,1
Private Method,CH.ifa.draw.application.DrawApplication.saveAsStorableOutput,,,,,,,,,,,1,2,1
Public Method,CH.ifa.draw.application.DrawApplication.selectionChanged,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.application.DrawApplication.setDrawing,,,,,,,,,,,0,1,1
Private Method,CH.ifa.draw.application.DrawApplication.setSelected,,,,,,,,,,,1,3,1
Private Method,CH.ifa.draw.application.DrawApplication.setTool,,,,,,,,,,,1,3,1
Public Method,CH.ifa.draw.application.DrawApplication.showStatus,,,,,,,,,,,0,1,1
Private Method,CH.ifa.draw.application.DrawApplication.stripTrailingAsterisks,,,,,,,,,,,1,2,1
Public Method,CH.ifa.draw.application.DrawApplication.tool,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.application.DrawApplication.toolDone,,,,,,,,,,,1,2,1
Public Method,CH.ifa.draw.application.DrawApplication.view,,,,,,,,,,,0,1,1
Package,CH.ifa.draw.contrib,1,1,1,1,9,,9,9,6,3,4,149,90
Public Class,CH.ifa.draw.contrib.ChopPolygonConnector,1,1,1,1,,,1,1,1,1,0,3,3
Public Constructor,CH.ifa.draw.contrib.ChopPolygonConnector.ChopPolygonConnector,,,,,,,,,,,0,1,1
Public Constructor,CH.ifa.draw.contrib.ChopPolygonConnector.ChopPolygonConnector,,,,,,,,,,,0,1,1
Protected Method,CH.ifa.draw.contrib.ChopPolygonConnector.chop,,,,,,,,,,,0,1,1
File,CH.ifa.draw.contrib.ChopPolygonConnector.html,0,0,0,0,0,0,0,,0,0,0,0,0
Public Class,CH.ifa.draw.contrib.DiamondFigure,1,1,1,1,,,1,1,1,1,0,6,6
Public Constructor,CH.ifa.draw.contrib.DiamondFigure.DiamondFigure,,,,,,,,,,,0,1,1
Public Constructor,CH.ifa.draw.contrib.DiamondFigure.DiamondFigure,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.DiamondFigure.connectionInsets,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.DiamondFigure.containsPoint,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.DiamondFigure.draw,,,,,,,,,,,0,1,1
File,CH.ifa.draw.contrib.DiamondFigure.html,0,0,0,0,0,0,0,,0,0,0,0,0
Protected Method,CH.ifa.draw.contrib.DiamondFigure.polygon,,,,,,,,,,,0,1,1
Public Class,CH.ifa.draw.contrib.PolygonFigure,1,1,2,1,,,6,7,6,3,4,67,36
Public Constructor,CH.ifa.draw.contrib.PolygonFigure.PolygonFigure,,,,,,,,,,,0,1,1
Public Constructor,CH.ifa.draw.contrib.PolygonFigure.PolygonFigure,,,,,,,,,,,0,1,1
Public Constructor,CH.ifa.draw.contrib.PolygonFigure.PolygonFigure,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.PolygonFigure.addPoint,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.PolygonFigure.basicDisplayBox,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.PolygonFigure.basicMoveBy,,,,,,,,,,,0,1,1
Public Static Method,CH.ifa.draw.contrib.PolygonFigure.bounds,,,,,,,,,,,2,6,1
Public Method,CH.ifa.draw.contrib.PolygonFigure.center,,,,,,,,,,,0,1,1
Public Static Method,CH.ifa.draw.contrib.PolygonFigure.center,,,,,,,,,,,1,2,1
Public Method,CH.ifa.draw.contrib.PolygonFigure.chop,,,,,,,,,,,0,1,1
Public Static Method,CH.ifa.draw.contrib.PolygonFigure.chop,,,,,,,,,,,3,6,1
Public Method,CH.ifa.draw.contrib.PolygonFigure.connectorAt,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.PolygonFigure.containsPoint,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.PolygonFigure.displayBox,,,,,,,,,,,0,1,1
Public Static Method,CH.ifa.draw.contrib.PolygonFigure.distanceFromLine,,,,,,,,,,,1,3,3
Public Method,CH.ifa.draw.contrib.PolygonFigure.drawBackground,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.PolygonFigure.drawFrame,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.PolygonFigure.findSegment,,,,,,,,,,,2,3,1
Public Method,CH.ifa.draw.contrib.PolygonFigure.getPolygon,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.PolygonFigure.handles,,,,,,,,,,,1,2,1
File,CH.ifa.draw.contrib.PolygonFigure.html,0,0,0,0,0,0,0,,0,0,0,0,0
Public Method,CH.ifa.draw.contrib.PolygonFigure.insertPointAt,,,,,,,,,,,1,3,1
Public Method,CH.ifa.draw.contrib.PolygonFigure.isEmpty,,,,,,,,,,,0,1,1
Public Static Method,CH.ifa.draw.contrib.PolygonFigure.locator,,,,,,,,,,,0,1,1
Anonymous Class,CH.ifa.draw.contrib.PolygonFigure.locator.(Anon_1),2,2,2,1,,,2,2,2,1,1,2,1
Public Method,CH.ifa.draw.contrib.PolygonFigure.locator.(Anon_1).locate,,,,,,,,,,,1,2,1
Public Method,CH.ifa.draw.contrib.PolygonFigure.outermostPoint,,,,,,,,,,,2,3,1
Public Method,CH.ifa.draw.contrib.PolygonFigure.pointAt,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.PolygonFigure.pointCount,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.PolygonFigure.points,,,,,,,,,,,1,2,1
Public Method,CH.ifa.draw.contrib.PolygonFigure.read,,,,,,,,,,,1,2,1
Public Method,CH.ifa.draw.contrib.PolygonFigure.removePointAt,,,,,,,,,,,1,3,1
Public Method,CH.ifa.draw.contrib.PolygonFigure.scaleRotate,,,,,,,,,,,2,3,1
Public Method,CH.ifa.draw.contrib.PolygonFigure.setPointAt,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.PolygonFigure.smoothPoints,,,,,,,,,,,4,6,1
Public Method,CH.ifa.draw.contrib.PolygonFigure.splitSegment,,,,,,,,,,,1,2,1
Public Method,CH.ifa.draw.contrib.PolygonFigure.write,,,,,,,,,,,1,2,1
Public Class,CH.ifa.draw.contrib.PolygonHandle,1,1,1,1,,,1,1,1,1,0,5,5
Public Constructor,CH.ifa.draw.contrib.PolygonHandle.PolygonHandle,,,,,,,,,,,0,1,1
File,CH.ifa.draw.contrib.PolygonHandle.html,0,0,0,0,0,0,0,,0,0,0,0,0
Public Method,CH.ifa.draw.contrib.PolygonHandle.invokeEnd,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.PolygonHandle.invokeStep,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.PolygonHandle.locate,,,,,,,,,,,0,1,1
Private Method,CH.ifa.draw.contrib.PolygonHandle.myOwner,,,,,,,,,,,0,1,1
Class,CH.ifa.draw.contrib.PolygonScaleHandle,1,1,1,1,,,3,3,3,3,1,10,9
Public Constructor,CH.ifa.draw.contrib.PolygonScaleHandle.PolygonScaleHandle,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.PolygonScaleHandle.draw,,,,,,,,,,,0,1,1
Method,CH.ifa.draw.contrib.PolygonScaleHandle.getOrigin,,,,,,,,,,,1,3,3
Public Method,CH.ifa.draw.contrib.PolygonScaleHandle.invokeEnd,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.PolygonScaleHandle.invokeStart,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.PolygonScaleHandle.invokeStep,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.PolygonScaleHandle.locate,,,,,,,,,,,1,2,1
Public Class,CH.ifa.draw.contrib.PolygonTool,2,2,2,1,,,3,5,3,1,2,16,8
Public Constructor,CH.ifa.draw.contrib.PolygonTool.PolygonTool,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.PolygonTool.activate,,,,,,,,,,,0,1,1
Private Method,CH.ifa.draw.contrib.PolygonTool.addPoint,,,,,,,,,,,1,3,1
Public Method,CH.ifa.draw.contrib.PolygonTool.deactivate,,,,,,,,,,,2,3,1
File,CH.ifa.draw.contrib.PolygonTool.html,0,0,0,0,0,0,0,,0,0,0,0,0
Public Method,CH.ifa.draw.contrib.PolygonTool.mouseDown,,,,,,,,,,,2,3,1
Public Method,CH.ifa.draw.contrib.PolygonTool.mouseDrag,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.PolygonTool.mouseMove,,,,,,,,,,,2,3,1
Public Method,CH.ifa.draw.contrib.PolygonTool.mouseUp,,,,,,,,,,,0,1,1
Public Class,CH.ifa.draw.contrib.TriangleFigure,2,1,2,1,,,9,9,3,1,2,31,13
Public Constructor,CH.ifa.draw.contrib.TriangleFigure.TriangleFigure,,,,,,,,,,,0,1,1
Public Constructor,CH.ifa.draw.contrib.TriangleFigure.TriangleFigure,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.TriangleFigure.center,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.TriangleFigure.chop,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.TriangleFigure.clone,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.TriangleFigure.connectionInsets,,,,,,,,,,,1,9,1
Public Method,CH.ifa.draw.contrib.TriangleFigure.containsPoint,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.TriangleFigure.draw,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.TriangleFigure.handles,,,,,,,,,,,0,1,1
File,CH.ifa.draw.contrib.TriangleFigure.html,0,0,0,0,0,0,0,,0,0,0,0,0
Public Method,CH.ifa.draw.contrib.TriangleFigure.polygon,,,,,,,,,,,1,9,1
Public Method,CH.ifa.draw.contrib.TriangleFigure.read,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.TriangleFigure.rotate,,,,,,,,,,,2,3,1
Public Method,CH.ifa.draw.contrib.TriangleFigure.write,,,,,,,,,,,0,1,1
Class,CH.ifa.draw.contrib.TriangleRotationHandle,1,1,1,1,,,3,3,3,3,1,9,9
Public Constructor,CH.ifa.draw.contrib.TriangleRotationHandle.TriangleRotationHandle,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.TriangleRotationHandle.draw,,,,,,,,,,,0,1,1
Method,CH.ifa.draw.contrib.TriangleRotationHandle.getOrigin,,,,,,,,,,,1,3,3
Public Method,CH.ifa.draw.contrib.TriangleRotationHandle.invokeEnd,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.TriangleRotationHandle.invokeStart,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.TriangleRotationHandle.invokeStep,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.contrib.TriangleRotationHandle.locate,,,,,,,,,,,0,1,1
Package,CH.ifa.draw.figures,1,1,1,1,33,,12,12,9,8,3,407,294
Public Class,CH.ifa.draw.figures.ArrowTip,1,1,1,1,,,1,1,1,1,0,8,8
Public Constructor,CH.ifa.draw.figures.ArrowTip.ArrowTip,,,,,,,,,,,0,1,1
Public Constructor,CH.ifa.draw.figures.ArrowTip.ArrowTip,,,,,,,,,,,0,1,1
Private Method,CH.ifa.draw.figures.ArrowTip.addPointRelative,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.figures.ArrowTip.draw,,,,,,,,,,,0,1,1
File,CH.ifa.draw.figures.ArrowTip.html,0,0,0,0,0,0,0,,0,0,0,0,0
Public Method,CH.ifa.draw.figures.ArrowTip.outline,,,,,,,,,,,0,1,1
Private Method,CH.ifa.draw.figures.ArrowTip.outline,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.figures.ArrowTip.read,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.figures.ArrowTip.write,,,,,,,,,,,0,1,1
Public Abstract Class,CH.ifa.draw.figures.AttributeFigure,1,1,1,1,,,3,3,3,3,2,20,14
Protected Constructor,CH.ifa.draw.figures.AttributeFigure.AttributeFigure,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.figures.AttributeFigure.draw,,,,,,,,,,,1,3,1
Protected Method,CH.ifa.draw.figures.AttributeFigure.drawBackground,,,,,,,,,,,0,1,1
Protected Method,CH.ifa.draw.figures.AttributeFigure.drawFrame,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.figures.AttributeFigure.getAttribute,,,,,,,,,,,2,3,3
Public Static Method,CH.ifa.draw.figures.AttributeFigure.getDefaultAttribute,,,,,,,,,,,1,2,1
Public Method,CH.ifa.draw.figures.AttributeFigure.getFillColor,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.figures.AttributeFigure.getFrameColor,,,,,,,,,,,0,1,1
File,CH.ifa.draw.figures.AttributeFigure.html,0,0,0,0,0,0,0,,0,0,0,0,0
Private Static Method,CH.ifa.draw.figures.AttributeFigure.initializeAttributes,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.figures.AttributeFigure.read,,,,,,,,,,,1,2,1
Public Method,CH.ifa.draw.figures.AttributeFigure.setAttribute,,,,,,,,,,,1,2,1
Public Method,CH.ifa.draw.figures.AttributeFigure.write,,,,,,,,,,,1,2,1
Public Class,CH.ifa.draw.figures.BorderDecorator,1,1,1,1,,,1,1,1,1,0,7,7
Public Constructor,CH.ifa.draw.figures.BorderDecorator.BorderDecorator,,,,,,,,,,,0,1,1
Public Constructor,CH.ifa.draw.figures.BorderDecorator.BorderDecorator,,,,,,,,,,,0,1,1
Private Method,CH.ifa.draw.figures.BorderDecorator.border,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.figures.BorderDecorator.connectionInsets,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.figures.BorderDecorator.displayBox,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.figures.BorderDecorator.draw,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.figures.BorderDecorator.figureInvalidated,,,,,,,,,,,0,1,1
File,CH.ifa.draw.figures.BorderDecorator.html,0,0,0,0,0,0,0,,0,0,0,0,0
Public Class,CH.ifa.draw.figures.BorderTool,1,1,1,1,,,1,1,1,1,0,2,2
Public Constructor,CH.ifa.draw.figures.BorderTool.BorderTool,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.figures.BorderTool.action,,,,,,,,,,,0,1,1
File,CH.ifa.draw.figures.BorderTool.html,0,0,0,0,0,0,0,,0,0,0,0,0
Public Class,CH.ifa.draw.figures.ChopEllipseConnector,1,1,1,1,,,1,1,1,1,0,3,3
Public Constructor,CH.ifa.draw.figures.ChopEllipseConnector.ChopEllipseConnector,,,,,,,,,,,0,1,1
Public Constructor,CH.ifa.draw.figures.ChopEllipseConnector.ChopEllipseConnector,,,,,,,,,,,0,1,1
Protected Method,CH.ifa.draw.figures.ChopEllipseConnector.chop,,,,,,,,,,,0,1,1
File,CH.ifa.draw.figures.ChopEllipseConnector.html,0,0,0,0,0,0,0,,0,0,0,0,0
Public Class,CH.ifa.draw.figures.ConnectedTextTool,1,1,2,1,,,2,5,2,1,1,4,3
Public Constructor,CH.ifa.draw.figures.ConnectedTextTool.ConnectedTextTool,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.figures.ConnectedTextTool.activate,,,,,,,,,,,0,1,1
File,CH.ifa.draw.figures.ConnectedTextTool.html,0,0,0,0,0,0,0,,0,0,0,0,0
Public Method,CH.ifa.draw.figures.ConnectedTextTool.mouseDown,,,,,,,,,,,1,2,1
Public Class,CH.ifa.draw.figures.ElbowConnection,1,1,2,1,,,3,5,3,1,2,10,6
Public Constructor,CH.ifa.draw.figures.ElbowConnection.ElbowConnection,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.figures.ElbowConnection.connectedTextLocator,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.figures.ElbowConnection.handles,,,,,,,,,,,1,3,1
File,CH.ifa.draw.figures.ElbowConnection.html,0,0,0,0,0,0,0,,0,0,0,0,0
Public Method,CH.ifa.draw.figures.ElbowConnection.layoutConnection,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.figures.ElbowConnection.updateConnection,,,,,,,,,,,0,1,1
Protected Method,CH.ifa.draw.figures.ElbowConnection.updatePoints,,,,,,,,,,,2,3,1
Public Class,CH.ifa.draw.figures.ElbowHandle,1,1,1,1,,,3,3,3,1,1,14,9
Public Constructor,CH.ifa.draw.figures.ElbowHandle.ElbowHandle,,,,,,,,,,,0,1,1
Private Method,CH.ifa.draw.figures.ElbowHandle.constrainX,,,,,,,,,,,1,3,1
Private Method,CH.ifa.draw.figures.ElbowHandle.constrainY,,,,,,,,,,,1,3,1
Public Method,CH.ifa.draw.figures.ElbowHandle.draw,,,,,,,,,,,0,1,1
File,CH.ifa.draw.figures.ElbowHandle.html,0,0,0,0,0,0,0,,0,0,0,0,0
Public Method,CH.ifa.draw.figures.ElbowHandle.invokeStart,,,,,,,,,,,0,1,1
Public Method,CH.ifa.draw.figures.ElbowHandle.invokeStep,,,,,,,,,,,1,2,1
